"filename", "language", "JavaScript", "Vue", "PostCSS", "HTML", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\projects\classroomReservationSystem\crs-backend\app.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 13, 14, 47
"d:\projects\classroomReservationSystem\crs-backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 1728, 0, 1, 1729
"d:\projects\classroomReservationSystem\crs-backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"d:\projects\classroomReservationSystem\crs-backend\src\config\config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 6, 0, 18
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\adminDashboardController.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 10, 6, 61
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\announcementController.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 11, 52, 337
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\approvalController.js", "JavaScript", 244, 0, 0, 0, 0, 0, 0, 29, 33, 306
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\classroomController.js", "JavaScript", 321, 0, 0, 0, 0, 0, 0, 30, 47, 398
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\classroomTypeController.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 21, 21, 174
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\courseScheduleController.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 23, 30, 268
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\messageController.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 0, 46, 292
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\periodController.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 2, 14
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\reservationController.js", "JavaScript", 313, 0, 0, 0, 0, 0, 0, 46, 44, 403
"d:\projects\classroomReservationSystem\crs-backend\src\controllers\userController.js", "JavaScript", 500, 0, 0, 0, 0, 0, 0, 62, 72, 634
"d:\projects\classroomReservationSystem\crs-backend\src\db\db.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 12, 5, 47
"d:\projects\classroomReservationSystem\crs-backend\src\jobs\activityReminder.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 4, 12, 77
"d:\projects\classroomReservationSystem\crs-backend\src\jobs\statisticalReport.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 6, 8, 48
"d:\projects\classroomReservationSystem\crs-backend\src\middlewares\admin.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 1, 11
"d:\projects\classroomReservationSystem\crs-backend\src\middlewares\auth.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 6, 4, 26
"d:\projects\classroomReservationSystem\crs-backend\src\routes\adminDashboard.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"d:\projects\classroomReservationSystem\crs-backend\src\routes\announcement.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
"d:\projects\classroomReservationSystem\crs-backend\src\routes\approval.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 5, 7, 22
"d:\projects\classroomReservationSystem\crs-backend\src\routes\classroom.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 5, 7, 23
"d:\projects\classroomReservationSystem\crs-backend\src\routes\classroomType.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 4, 6, 20
"d:\projects\classroomReservationSystem\crs-backend\src\routes\courseSchedule.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 5, 7, 23
"d:\projects\classroomReservationSystem\crs-backend\src\routes\message.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 10, 3, 27
"d:\projects\classroomReservationSystem\crs-backend\src\routes\period.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"d:\projects\classroomReservationSystem\crs-backend\src\routes\reservation.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 5, 7, 22
"d:\projects\classroomReservationSystem\crs-backend\src\routes\user.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 13, 9, 40
"d:\projects\classroomReservationSystem\crs-backend\src\services\statisticalReportService.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 10, 18, 203
"d:\projects\classroomReservationSystem\crs-backend\src\ws\wsHub.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 11, 14, 89
"d:\projects\classroomReservationSystem\crs-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"d:\projects\classroomReservationSystem\crs-frontend\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\projects\classroomReservationSystem\crs-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3680, 0, 1, 3681
"d:\projects\classroomReservationSystem\crs-frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"d:\projects\classroomReservationSystem\crs-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\classroomReservationSystem\crs-frontend\src\App.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\projects\classroomReservationSystem\crs-frontend\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\classroomReservationSystem\crs-frontend\src\base.css", "PostCSS", 0, 0, 71, 0, 0, 0, 0, 2, 13, 86
"d:\projects\classroomReservationSystem\crs-frontend\src\components\AdminDashboardCharts.vue", "Vue", 0, 345, 0, 0, 0, 0, 0, 21, 42, 408
"d:\projects\classroomReservationSystem\crs-frontend\src\components\AdminLayout.vue", "Vue", 0, 198, 0, 0, 0, 0, 0, 14, 22, 234
"d:\projects\classroomReservationSystem\crs-frontend\src\components\AppFooter.vue", "Vue", 0, 130, 0, 0, 0, 0, 0, 14, 20, 164
"d:\projects\classroomReservationSystem\crs-frontend\src\components\AppPagination.vue", "Vue", 0, 61, 0, 0, 0, 0, 0, 16, 11, 88
"d:\projects\classroomReservationSystem\crs-frontend\src\components\ApprovalHistoryChart.vue", "Vue", 0, 413, 0, 0, 0, 0, 0, 45, 49, 507
"d:\projects\classroomReservationSystem\crs-frontend\src\components\Layout.vue", "Vue", 0, 72, 0, 0, 0, 0, 0, 5, 13, 90
"d:\projects\classroomReservationSystem\crs-frontend\src\components\NavBar.vue", "Vue", 0, 285, 0, 0, 0, 0, 0, 13, 37, 335
